[2018-05-26 13:45:34] GREEDY||samples/dolphins.gml||louvain||100||[0.27616802076944813, 0.273717302003083, 0.2713132217042116, 0.2689560926282951, 0.2667509942455774, 0.2646647459929806, 0.2626126844946839, 0.26059395185062356, 0.25860771916869313, 0.2567173788975103, 0.2548570006531567, 0.2530278546005432, 0.25122908223765195, 0.24945985832929946, 0.247750105298881, 0.24606513266551955, 0.2444043822278589, 0.24281011224569787, 0.2412378995995906, 0.23968726688193542, 0.23816048283808067, 0.23665668952810962, 0.23517530412514226, 0.23371576505171812, 0.2322775309604293, 0.23086703082035936, 0.2295052659881267, 0.22816063438123652, 0.22683279480863452, 0.22552141550545995, 0.22422423589060994, 0.22294007108302122, 0.22166913020337745, 0.2204213696473168, 0.2191902269788983, 0.21797088696525674, 0.21676777248527299, 0.2155805124967045, 0.21440909087279483, 0.21327153044991884, 0.21214547635391495, 0.21103214923308297, 0.20992907691570753, 0.20883675355357745, 0.20775504218467508, 0.2066832184355719, 0.2056219295832807, 0.20457813513897383, 0.20354517641277425, 0.20252289611400334, 0.20151303075396926, 0.20051286522122205, 0.19952320962581258, 0.198544029811584, 0.1975748383015401, 0.1966137467280941, 0.19567320238510266, 0.19474355239961946, 0.19382265958508318, 0.1929107019999474, 0.19200608049571388, 0.1911105592477794, 0.1902225101584189, 0.18934873862939006, 0.18848466214779144, 0.18762983913849077, 0.18678125255074746, 0.18593978238432834, 0.18510544886874528, 0.1842780339892211, 0.1834567921035702, 0.1826434158699591, 0.1818377178036083, 0.18103751697900236, 0.18024364505216708, 0.17945724476869795, 0.1786782029315563, 0.17790539134740083, 0.1771417588760731, 0.17638445024973054, 0.1756340791341948, 0.1748928779925761, 0.1741603590809249, 0.17343488665459308, 0.17271491509023948, 0.17200229993238655, 0.17129642654970212, 0.17059572065405407, 0.16990045342230514, 0.1692100104291967, 0.16852561168279384, 0.16784618546740468, 0.16717213765500802, 0.1665033631071565, 0.1658396437037325, 0.16518161171875675, 0.16452856516136527, 0.1638802917343736, 0.1632375020001858, 0.1625993639930787]||[0.8266666666666667, 0.7572383073496659, 0.7065217391304348, 0.6694045174537988, 0.6468172484599589, 0.5774058577405857, 0.5121951219512195, 0.501039501039501, 0.4885654885654886, 0.4059040590405904, 0.4059040590405904, 0.4059040590405904, 0.40860215053763443, 0.40860215053763443, 0.40860215053763443, 0.40860215053763443, 0.40860215053763443, 0.3896797153024911, 0.3896797153024911, 0.39399624765478425, 0.4024822695035461, 0.39399624765478425, 0.39399624765478425, 0.39399624765478425, 0.3732638888888889, 0.3642611683848797, 0.3968804159445407, 0.3968804159445407, 0.3861209964412811, 0.3861209964412811, 0.3861209964412811, 0.4126984126984127, 0.4017391304347826, 0.4017391304347826, 0.4017391304347826, 0.4017391304347826, 0.3762541806020067, 0.3762541806020067, 0.3762541806020067, 0.3762541806020067, 0.3762541806020067, 0.3619744058500914, 0.3220338983050847, 0.31825795644891125, 0.31825795644891125, 0.375, 0.375, 0.358843537414966, 0.34912280701754383, 0.37056737588652483, 0.32653061224489793, 0.32653061224489793, 0.32653061224489793, 0.32653061224489793, 0.32653061224489793, 0.32653061224489793, 0.32653061224489793, 0.32653061224489793, 0.3406408094435076, 0.3406408094435076, 0.31727574750830567, 0.31727574750830567, 0.3027027027027027, 0.3027027027027027, 0.3119266055045872, 0.3027027027027027, 0.3027027027027027, 0.3027027027027027, 0.31727574750830567, 0.31727574750830567, 0.31727574750830567, 0.31727574750830567, 0.3027027027027027, 0.3027027027027027, 0.3027027027027027, 0.3027027027027027, 0.3027027027027027, 0.3027027027027027, 0.2823741007194245, 0.2823741007194245, 0.2976827094474153, 0.30905861456483125, 0.30905861456483125, 0.30905861456483125, 0.30418943533697634, 0.30418943533697634, 0.30418943533697634, 0.2927689594356261, 0.2927689594356261, 0.2927689594356261, 0.33620689655172414, 0.33620689655172414, 0.33620689655172414, 0.33620689655172414, 0.302158273381295, 0.33620689655172414, 0.31181102362204727, 0.2974910394265233, 0.2967741935483871, 0.26161790017211706]
[2018-05-26 13:45:57] GA||samples/dolphins.gml||louvain||8||0.260690||0.515658
[2018-05-26 13:46:00] GA||samples/dolphins.gml||louvain||9||0.258886||0.477842
[2018-05-26 13:46:36] GA||samples/dolphins.gml||louvain||10||0.257111||0.528571
[2018-05-26 13:47:00] GA||samples/dolphins.gml||louvain||11||0.255056||0.553459
[2018-05-26 13:47:07] GA||samples/dolphins.gml||louvain||12||0.253345||0.446774
[2018-05-26 13:47:27] GA||samples/dolphins.gml||louvain||13||0.251659||0.534517
[2018-05-26 13:47:37] GA||samples/dolphins.gml||louvain||14||0.249980||0.509395
[2018-05-26 13:47:50] GA||samples/dolphins.gml||louvain||15||0.248443||0.490126
[2018-05-26 13:48:22] GA||samples/dolphins.gml||louvain||16||0.246855||0.449458
[2018-05-26 13:48:28] GA||samples/dolphins.gml||louvain||17||0.245291||0.491124
[2018-05-26 13:49:00] GA||samples/dolphins.gml||louvain||18||0.243902||0.493802
[2018-05-26 13:49:21] GA||samples/dolphins.gml||louvain||19||0.242351||0.392427
[2018-05-26 13:49:26] GA||samples/dolphins.gml||louvain||20||0.240812||0.483101
[2018-05-26 13:49:50] GA||samples/dolphins.gml||louvain||21||0.239509||0.571429
[2018-05-26 13:49:58] GA||samples/dolphins.gml||louvain||22||0.237856||0.396161
[2018-05-26 13:50:14] GA||samples/dolphins.gml||louvain||23||0.236592||0.454206
[2018-05-26 13:50:41] GA||samples/dolphins.gml||louvain||24||0.234891||0.386570
[2018-05-26 13:50:47] GA||samples/dolphins.gml||louvain||25||0.233781||0.400685
[2018-05-26 13:51:18] GA||samples/dolphins.gml||louvain||26||0.232672||0.390492
[2018-05-26 13:51:44] GA||samples/dolphins.gml||louvain||27||0.231507||0.397541
[2018-05-26 13:51:50] GA||samples/dolphins.gml||louvain||28||0.229880||0.343866
[2018-05-26 13:52:16] GA||samples/dolphins.gml||louvain||29||0.229339||0.413732
[2018-05-26 13:52:23] GA||samples/dolphins.gml||louvain||30||0.227188||0.438400
[2018-05-26 13:52:42] GA||samples/dolphins.gml||louvain||31||0.225930||0.483553
[2018-05-26 13:53:07] GA||samples/dolphins.gml||louvain||32||0.225260||0.360390
[2018-05-26 13:53:11] GA||samples/dolphins.gml||louvain||33||0.223446||0.415162
[2018-05-26 13:53:46] GA||samples/dolphins.gml||louvain||34||0.222602||0.528541
[2018-05-26 13:54:14] GA||samples/dolphins.gml||louvain||35||0.221513||0.437736
[2018-05-26 13:54:18] GA||samples/dolphins.gml||louvain||36||0.219569||0.345588
[2018-05-26 13:54:39] GA||samples/dolphins.gml||louvain||37||0.218771||0.373288
[2018-05-26 13:54:55] GA||samples/dolphins.gml||louvain||38||0.217834||0.350847
[2018-05-26 13:55:13] GA||samples/dolphins.gml||louvain||39||0.216601||0.310744
[2018-05-26 13:55:40] GA||samples/dolphins.gml||louvain||40||0.214926||0.396667
[2018-05-26 13:55:51] GA||samples/dolphins.gml||louvain||41||0.214854||0.329159
[2018-05-26 13:56:15] GA||samples/dolphins.gml||louvain||42||0.212599||0.358108
[2018-05-26 13:56:47] GA||samples/dolphins.gml||louvain||43||0.211947||0.421154
[2018-05-26 13:56:58] GA||samples/dolphins.gml||louvain||44||0.210876||0.418819
[2018-05-26 13:57:07] GA||samples/dolphins.gml||louvain||45||0.209639||0.397611
[2018-05-26 13:57:31] GA||samples/dolphins.gml||louvain||46||0.208792||0.295290
[2018-05-26 13:57:49] GA||samples/dolphins.gml||louvain||47||0.207927||0.397260
[2018-05-26 13:58:16] GA||samples/dolphins.gml||louvain||48||0.206390||0.311793
[2018-05-26 13:58:28] GA||samples/dolphins.gml||louvain||49||0.205380||0.351201
[2018-05-26 13:58:57] GA||samples/dolphins.gml||louvain||50||0.205068||0.367241
[2018-05-26 13:59:19] GA||samples/dolphins.gml||louvain||51||0.203894||0.364892
[2018-05-26 13:59:36] GA||samples/dolphins.gml||louvain||52||0.202886||0.360485
[2018-05-26 13:59:47] GA||samples/dolphins.gml||louvain||53||0.201787||0.311774
[2018-05-26 14:00:09] GA||samples/dolphins.gml||louvain||54||0.200561||0.351852
[2018-05-26 14:00:28] GA||samples/dolphins.gml||louvain||55||0.200062||0.300987
[2018-05-26 14:00:56] GA||samples/dolphins.gml||louvain||56||0.199161||0.338983
[2018-05-26 14:01:12] GA||samples/dolphins.gml||louvain||57||0.198336||0.365854
[2018-05-26 14:01:38] GA||samples/dolphins.gml||louvain||58||0.197111||0.332096
[2018-05-26 14:02:04] GA||samples/dolphins.gml||louvain||59||0.196285||0.312709
[2018-05-26 14:02:21] GA||samples/dolphins.gml||louvain||60||0.195334||0.288809
[2018-05-26 14:02:29] GA||samples/dolphins.gml||louvain||61||0.194335||0.349020
[2018-05-26 14:02:52] GA||samples/dolphins.gml||louvain||62||0.193426||0.350604
[2018-05-26 14:03:16] GA||samples/dolphins.gml||louvain||63||0.192338||0.339964
[2018-05-26 14:03:37] GA||samples/dolphins.gml||louvain||64||0.191739||0.252800
[2018-05-26 14:03:57] GA||samples/dolphins.gml||louvain||65||0.190836||0.311558
[2018-05-26 14:04:21] GA||samples/dolphins.gml||louvain||66||0.190149||0.283993
[2018-05-26 14:04:52] GA||samples/dolphins.gml||louvain||67||0.189226||0.259740
[2018-05-26 14:05:07] GA||samples/dolphins.gml||louvain||68||0.188010||0.296029
[2018-05-26 14:05:14] GA||samples/dolphins.gml||louvain||69||0.187496||0.271127
[2018-05-26 14:05:43] GA||samples/dolphins.gml||louvain||70||0.186716||0.284470
[2018-05-26 14:06:03] GA||samples/dolphins.gml||louvain||71||0.185466||0.316456
[2018-05-26 14:06:23] GA||samples/dolphins.gml||louvain||72||0.185217||0.358879
[2018-05-26 14:06:47] GA||samples/dolphins.gml||louvain||73||0.184431||0.274242
[2018-05-26 14:07:06] GA||samples/dolphins.gml||louvain||74||0.183210||0.312139
[2018-05-26 14:07:42] GA||samples/dolphins.gml||louvain||75||0.182320||0.291312
[2018-05-26 14:07:59] GA||samples/dolphins.gml||louvain||77||0.181012||0.300987
[2018-05-26 14:08:00] GA||samples/dolphins.gml||louvain||76||0.181871||0.297125
[2018-05-26 14:08:31] GA||samples/dolphins.gml||louvain||78||0.179736||0.287407
[2018-05-26 14:08:52] GA||samples/dolphins.gml||louvain||79||0.179451||0.273043
[2018-05-26 14:09:10] GA||samples/dolphins.gml||louvain||80||0.178494||0.294643
[2018-05-26 14:09:38] GA||samples/dolphins.gml||louvain||81||0.177825||0.269294
[2018-05-26 14:10:03] GA||samples/dolphins.gml||louvain||82||0.177391||0.318937
[2018-05-26 14:10:31] GA||samples/dolphins.gml||louvain||83||0.176255||0.310280
[2018-05-26 14:10:55] GA||samples/dolphins.gml||louvain||84||0.175761||0.201175
[2018-05-26 14:10:58] GA||samples/dolphins.gml||louvain||85||0.175461||0.286458
[2018-05-26 14:11:24] GA||samples/dolphins.gml||louvain||86||0.174488||0.300725
[2018-05-26 14:11:43] GA||samples/dolphins.gml||louvain||87||0.173435||0.265597
[2018-05-26 14:12:10] GA||samples/dolphins.gml||louvain||88||0.172660||0.240945
[2018-05-26 14:12:40] GA||samples/dolphins.gml||louvain||89||0.172214||0.265924
[2018-05-26 14:12:56] GA||samples/dolphins.gml||louvain||90||0.171485||0.308703
[2018-05-26 14:13:30] GA||samples/dolphins.gml||louvain||91||0.170610||0.286859
[2018-05-26 14:13:56] GA||samples/dolphins.gml||louvain||93||0.169398||0.274021
[2018-05-26 14:13:57] GA||samples/dolphins.gml||louvain||92||0.170026||0.326599
[2018-05-26 14:14:23] GA||samples/dolphins.gml||louvain||94||0.168649||0.281201
[2018-05-26 14:14:45] GA||samples/dolphins.gml||louvain||95||0.168109||0.235294
[2018-05-26 14:15:14] GA||samples/dolphins.gml||louvain||96||0.167399||0.304790
[2018-05-26 14:15:43] GA||samples/dolphins.gml||louvain||97||0.166992||0.211864
[2018-05-26 14:15:48] GA||samples/dolphins.gml||louvain||98||0.165863||0.247875
[2018-05-26 14:16:34] GA||samples/dolphins.gml||louvain||99||0.165590||0.262712
[2018-05-26 14:16:44] GA||samples/dolphins.gml||fast_newman||1||0.264525||0.721865
[2018-05-26 14:16:56] GA||samples/dolphins.gml||fast_newman||2||0.262211||0.678740
[2018-05-26 14:17:04] GA||samples/dolphins.gml||louvain||100||0.164880||0.243492
